MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,MORTH,450.65,345.01,96.61,2020-01-11,2023-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,699.19,0.0,35.0,2025-01-09,2027-01-09,-1.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,151.13,0.0,98.0,2024-01-03,2026-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,MORTH,247.41,114.6,73.5,2018-01-05,2020-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,196.94,59.54,70.0,2022-01-03,2025-01-12,0.0,-0.009999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,496.64,0.0,70.14,2023-01-07,2024-01-10,0.0,-210.17
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,406.54,0.0,95.84,2017-01-09,2019-01-09,0.0,-528.24
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,298.0,232.09,65.0,2021-01-06,2024-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,253.99,0.0,100.0,2017-01-03,2019-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,809.77,0.0,12.0,2026-01-04,2028-01-04,0.0,-0.93
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,574.18,7.49,20.0,2025-01-09,2027-01-03,0.0,-0.0499999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,1297.75,0.0,44.73,2024-01-07,2026-01-07,-1.1200000000000043,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,545.11,290.36,82.28,2022-01-07,2024-01-07,-1.1899999999999975,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GOA,MORTH,641.46,0.0,97.1,2024-01-04,2026-01-04,-1.980000000000004,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,1142.62,0.0,97.5,2018-01-02,2020-01-02,0.0,-427.48
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,1006.99,0.0,80.06,2017-01-11,2019-01-11,0.0,-0.17
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,1117.75,375.93,90.14,2017-01-11,2019-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,157.49,33.67,92.0,2023-01-05,2024-01-11,0.0,-0.019999999999996
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,587.1,52.51,23.0,2025-01-01,2027-01-07,-2.0,-0.0700000000000002
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,499.79,131.36,60.650000000000006,2023-01-06,2025-01-06,-5.349999999999994,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,MORTH,535.03,209.27,75.82,2023-01-04,2025-01-04,-0.5,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,MORTH,421.15,0.0,20.8,2025-01-04,2026-01-10,-13.2,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,295.24,44.18,86.02,2023-01-07,2025-01-07,-2.6299999999999955,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,636.1,296.22,56.11000000000001,2024-01-02,2026-01-02,0.0,-0.2799999999999727
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,194.88,55.29,98.58,2022-01-12,2024-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,238.78,6.79,55.00000000000001,2023-01-04,2025-01-10,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,324.09,88.48,70.09,2023-01-05,2025-01-05,-7.909999999999997,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,648.05,0.0,50.0,2025-01-02,2027-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,511.83,0.0,94.5,2015-01-08,2017-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,619.55,0.0,8.24,2025-01-10,2027-01-10,0.0,-18.35
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,283.15,480.41,92.62,2018-01-05,2020-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,329.14,0.0,100.0,2023-01-09,2025-01-09,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,1295.39,0.0,30.0,2025-01-08,2028-01-02,-5.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,CHHATTISGARH,MORTH,349.03,0.0,97.9,2019-01-01,2021-01-01,0.0,-304.04
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,511.54,0.0,3.0,2025-01-06,2027-01-06,0.0,-7.64
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,246.6,0.0,35.0,2025-01-01,2027-01-01,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,153.01,100.77,95.0,2021-01-08,2023-01-08,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,305.12,0.0,89.07000000000001,2023-01-04,2024-01-10,-3.259999999999991,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,617.28,7.59,48.5,2025-01-07,2027-01-01,0.0,-0.4399999999999995
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1138.72,0.07,35.0,2025-01-06,2027-01-06,-1.6700000000000017,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1273.72,0.0,54.0,2025-01-05,2027-01-05,-1.000000000000007,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,1110.23,0.0,51.91,2023-01-05,2027-01-05,-0.6900000000000048,-522.58
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1511.57,0.0,36.02,2025-01-03,2027-01-03,-3.979999999999997,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,3064.45,0.0,17.24,2024-01-05,2027-01-11,-1.4200000000000017,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,1661.25,0.83,7.89,2025-01-09,2028-01-03,-1.1800000000000006,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,974.19,0.99,57.99999999999999,2024-01-11,2027-01-05,0.0,-0.2099999999999999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HIMACHAL PRADESH,MORTH,870.95,0.0,0.0,2026-01-03,2029-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,244.43,21.96,13.0,2025-01-01,2026-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,361.24,145.94,43.22,2023-01-11,2025-01-11,-13.47,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,311.22,211.05,91.25,2022-01-10,2024-01-10,-1.7600000000000051,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,349.29,264.81,100.0,2022-01-07,2024-01-07,1.9099999999999968,-0.0500000000000113
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1348.06,0.0,35.0,2025-01-11,2027-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1734.7,0.0,10.0,2025-01-08,2027-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,701.02,0.0,81.17999999999999,2025-01-01,2026-01-07,0.0,-156.4
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,2061.86,0.0,37.0,2025-01-12,2028-01-05,-4.0,-222.2
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,172.5,0.0,91.0,2022-01-07,2024-01-07,-1.0,-0.13
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,325.24,0.0,99.0,2022-01-11,2024-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,236.47,0.0,100.0,2022-01-09,2024-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HIMACHAL PRADESH,MORTH,230.55,31.4,23.24,2023-01-07,2026-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HIMACHAL PRADESH,MORTH,314.67,93.27,60.02,2023-01-05,2026-01-05,-2.259999999999998,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JAMMU AND KASHMIR,MORTH,734.64,0.0,50.03,2024-01-07,2026-01-07,-9.97,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JAMMU AND KASHMIR,MORTH,562.45,158.52,71.27,2024-01-01,2026-01-01,0.0,-0.1599999999999966
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JAMMU AND KASHMIR,MORTH,152.93,77.62,90.06,2021-01-09,2023-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JAMMU AND KASHMIR,MORTH,796.97,440.97,92.1,2021-01-08,2024-01-08,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JAMMU AND KASHMIR,MORTH,395.25,156.58,89.2,2022-01-07,2024-01-07,0.0,-5.419999999999988
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JAMMU AND KASHMIR,MORTH,272.49,160.08,95.27,2022-01-11,2024-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,MORTH,995.04,578.55,73.5,2023-01-03,2025-01-09,-1.480000000000004,-12.230000000000018
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,2926.42,0.0,74.92999999999999,2021-01-03,2024-01-09,-0.4000000000000057,-622.65
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HIMACHAL PRADESH,MORTH,314.32,0.0,70.39,2022-01-10,2025-01-04,-0.1899999999999977,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HIMACHAL PRADESH,MORTH,371.93,198.34,93.61,2022-01-06,2024-01-12,-0.0100000000000051,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1948.25,0.0,90.2,2021-01-02,2024-01-02,-0.7999999999999972,-0.43
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,1478.4,901.32,97.5,2021-01-06,2024-01-06,-1.0999999999999943,-0.1999999999999318
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,350.61,233.93,98.2,2017-01-01,2018-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1264.9,603.33,64.48,2023-01-12,2026-01-06,0.0,-29.659999999999968
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1000.27,490.64,59.78,2023-01-12,2026-01-06,0.0,-14.83000000000004
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1457.59,926.96,85.87,2023-01-12,2026-01-12,0.0,-35.76999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1258.13,0.0,14.04,2025-01-04,2027-01-10,0.0,-186.86
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1181.55,0.0,41.260000000000005,2025-01-09,2027-01-09,0.0,-178.62
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1716.21,970.37,81.65,2024-01-02,2026-01-08,0.0,-87.35000000000002
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1256.9,575.03,59.650000000000006,2024-01-01,2026-01-07,0.0,-57.17000000000007
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,561.91,0.0,17.119999999999997,2025-01-07,2027-01-01,0.0,-223.99
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,720.4,247.14,11.86,2025-01-07,2027-01-07,0.0,-12.710000000000036
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,595.65,173.14,6.72,2025-01-07,2027-01-01,0.0,-16.25
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,866.32,0.0,18.9,2025-01-10,2028-01-10,0.0,-190.01
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,875.79,0.0,13.95,2025-01-11,2028-01-11,0.0,-288.34
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,720.72,0.0,15.1,2025-01-10,2028-01-11,0.0,-102.62
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,204.1,142.21,0.0,2023-01-01,2024-01-07,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,516.88,0.0,99.7,2023-01-11,2025-01-11,0.0,-322.98
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,562.98,535.96,84.32,2023-01-09,2025-01-09,0.0,-6.889999999999986
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,957.95,165.23,47.27,2025-01-01,2028-01-01,0.0,-49.41
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,760.16,424.3,92.52,2023-01-12,2025-01-12,0.0,-3.829999999999984
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,504.76,325.89,95.2,2023-01-02,2025-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,410.68,345.66,90.61,2022-01-11,2024-01-05,-0.4099999999999966,-37.00999999999999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,579.63,404.8,85.98,2022-01-06,2023-01-12,-0.0700000000000073,-3.409999999999968
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,467.0,593.44,86.33,2021-01-09,2023-01-03,0.0,-0.349999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,870.0,0.0,40.99,2025-01-03,2027-01-03,0.0,-158.08
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,791.79,0.06,41.88,2025-01-02,2027-01-02,0.0,-135.48
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1319.55,0.0,25.16,2025-01-08,2027-01-08,2.09,-185.17
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,676.18,0.0,57.17,2024-01-08,2027-01-02,0.0,-339.78
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,746.76,426.91,81.07,2021-01-11,2024-01-11,0.0,-8.879999999999995
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1338.61,0.0,12.45,2024-01-12,2027-01-06,0.0,-199.15
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1081.15,0.0,32.59,2025-01-02,2027-01-08,-2.4099999999999966,-163.12
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,224.85,209.94,97.76,2020-01-06,2022-01-12,0.0,-0.0099999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,202.36,102.12,46.77,2020-01-10,2022-01-04,0.0,-0.1999999999999886
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,159.85,123.42,39.54,2023-01-06,2025-01-06,0.0,-4.899999999999992
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,277.44,198.97,69.76,2020-01-10,2022-01-10,0.0,-3.0200000000000102
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,232.29,116.76,27.24,2023-01-11,2026-01-11,0.0,-4.159999999999997
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,801.07,176.12,26.08,2025-01-09,2027-01-09,-0.7200000000000024,-0.4300000000000068
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,705.83,0.0,45.52,2025-01-03,2027-01-03,-0.8599999999999994,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,330.8,0.0,98.39,2023-01-11,2025-01-11,0.0,-268.18
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,211.7,254.22,93.54,2021-01-07,2023-01-01,-1.1699999999999875,-18.080000000000013
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,379.39,312.58,91.39,2020-01-10,2022-01-04,0.0,-2.150000000000034
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,256.04,0.0,98.12,2020-01-07,2022-01-06,0.0,-195.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,222.77,0.0,88.96,2020-01-07,2022-01-06,0.0,-140.9
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,164.89,127.59,26.67,2024-01-12,2026-01-06,-1.4499999999999993,-1.329999999999984
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,554.66,221.02,24.43,2024-01-12,2026-01-12,-1.7899999999999991,-4.70999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,564.05,172.98,14.499999999999998,2025-01-05,2027-01-03,0.0,-0.6000000000000227
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TRIPURA,NHIDCL,456.88,0.0,54.56,2023-01-01,2025-01-01,0.0,-205.69
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,355.79,0.0,43.13,2024-01-01,2026-01-01,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,MORTH,649.6,0.0,30.76,2024-01-11,2026-01-11,-6.429999999999996,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,MORTH,603.92,0.0,81.17,2021-01-12,2023-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,427.29,198.15,93.0,2023-01-06,2024-01-12,0.0,-0.079999999999984
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,423.18,5.46,0.01,2023-01-08,2025-01-08,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,343.54,84.43,65.0,2024-01-02,2025-01-08,-8.0,-4.539999999999992
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,280.57,0.0,65.0,2022-01-06,2024-01-05,-2.390000000000001,-144.61
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,540.35,139.11,63.67,2025-01-05,2027-01-05,-4.560000000000002,-19.269999999999985
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,423.48,184.83,77.77,2022-01-12,2024-01-12,-0.0799999999999983,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,495.16,0.0,37.0,2024-01-10,2026-01-04,-2.0,-0.38
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,957.09,288.15,60.21,2025-01-01,2027-01-01,0.0,-0.0800000000000409
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,761.83,0.0,15.0,2025-01-05,2027-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,255.88,182.8,96.0,2023-01-01,2024-01-07,0.0,-2.469999999999999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,206.54,0.0,65.14,2023-01-04,2025-01-04,0.0,-74.51
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,512.98,151.45,46.0,2024-01-02,2026-01-02,0.0,-1.0400000000000205
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,606.61,0.0,60.39,2024-01-10,2026-01-10,-3.1300000000000026,-304.62
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,369.39,333.1,86.3,2018-01-06,2019-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,407.2,0.0,91.89,2017-01-06,2019-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,167.97,0.0,93.75,2022-01-11,2024-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,881.61,0.0,37.95,2025-01-04,2027-01-04,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,886.69,620.25,86.74,2023-01-07,2025-01-07,-3.3100000000000023,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,631.49,125.34,30.8,2023-01-10,2025-01-10,-15.830000000000002,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,703.68,304.65,90.69,2023-01-01,2025-01-01,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,237.28,0.0,63.0,2023-01-12,2025-01-12,-1.5,-41.55
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,355.72,215.43,88.33,2022-01-12,2024-01-12,0.0,-2.030000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,403.36,0.0,96.0,2023-01-12,2025-01-06,0.0,-142.17
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,912.5,1.9,7.000000000000001,2025-01-05,2026-01-11,-0.9999999999999992,-6.82
